userId,petId,rating
1,11900,1
1,17244,1
1,55898,5
1,57086,3
1,81956,4
1,135264,1
1,175615,5
1,191162,5
2,25427,3
2,53192,1
2,59184,3
2,97775,3
2,130178,2
2,135550,3
2,143387,4
2,143741,5
2,162491,2
3,3812,5
3,4001,1
3,4900,4
3,7262,2
3,42791,4
3,71772,5
3,72552,5
3,108001,5
3,148847,4
3,176410,1
3,189014,3
3,189348,1
4,30198,4
4,45662,4
4,46253,4
4,60242,3
4,76436,5
4,93427,3
4,118954,4
4,143397,1
5,6493,3
5,33814,3
5,53132,1
5,57391,5
5,64585,5
5,103361,4
5,135527,5
5,149487,2
5,170152,5
5,185466,5
5,192713,5
6,9347,1
6,20805,1
6,72499,2
6,73174,1
6,73492,3
6,102486,3
6,104053,2
6,107309,2
6,135061,5
6,135878,1
6,144051,3
6,152935,3
6,175785,5
7,2443,3
7,32069,5
7,32891,4
7,54537,4
7,109154,2
7,114542,1
7,119281,4
7,134471,2
7,155025,2
7,160268,1
7,186944,5
8,2454,4
8,18192,2
8,41333,5
8,45945,4
8,64542,5
8,81744,2
8,83236,4
8,154626,1
8,183695,2
8,184244,3
9,17652,4
9,33541,2
9,63392,5
9,107169,2
9,107857,2
9,111550,4
9,147341,4
9,172275,1
9,180645,5
9,186714,3
10,4806,3
10,28646,5
10,30284,1
10,45869,5
10,46257,4
10,85524,3
10,109903,2
10,113965,1
10,155292,3
10,176896,1
11,48985,2
11,49397,1
11,96191,3
11,115413,2
11,125539,1
11,140234,4
11,149948,3
11,154258,2
11,185303,5
11,190568,3
11,192814,3
12,29309,1
12,38445,3
12,64457,1
12,68224,5
12,73094,4
12,118961,2
12,120419,4
12,141883,4
12,145379,3
12,162511,5
12,181197,4
12,184522,2
12,188198,5
12,190490,2
13,17079,4
13,83048,3
13,110180,2
13,115413,5
13,138102,5
13,144559,3
14,23396,5
14,26449,2
14,35509,3
14,61801,4
14,109673,1
14,134765,1
14,138393,4
15,5785,2
15,63931,4
15,112904,1
15,155082,4
16,44146,2
16,77755,4
16,80498,3
16,85385,4
16,85882,3
16,98056,3
16,100544,1
16,136936,2
16,154726,4
16,154969,5
16,172105,4
16,175447,3
17,23705,5
17,32685,2
17,71945,2
17,73835,5
17,102611,1
17,106382,3
17,127780,2
17,160696,3
18,49798,4
18,70420,4
18,80912,3
18,136363,2
18,142559,1
18,148904,4
18,158628,3
18,170378,4
18,192269,4
19,2047,1
19,2182,5
19,4538,2
19,25922,3
19,33345,4
19,75503,4
19,80979,5
19,107890,3
19,113643,2
19,133466,4
19,136911,5
20,666,4
20,10623,1
20,21764,2
20,27163,1
20,52080,2
20,60270,2
20,74840,1
20,90705,2
20,144225,5
20,148232,3
20,158510,2
21,10493,1
21,17093,5
21,20263,3
21,27001,5
21,34178,3
21,49340,3
21,55598,5
21,85786,4
21,87458,3
21,87520,2
21,112062,5
21,121612,1
21,143594,2
21,148964,4
21,164228,5
22,12929,3
22,46150,5
22,64532,1
22,81284,2
22,85593,2
22,132662,1
22,134077,5
22,134637,3
22,156345,1
22,176914,4
22,177941,3
22,178934,1
22,179140,1
22,180256,3
23,55510,4
23,57280,5
23,74660,1
23,109087,2
23,114409,4
23,118313,1
23,153987,3
23,160623,5
23,170422,2
24,18846,3
24,33180,3
24,77838,4
24,79122,4
24,85323,4
24,85752,1
24,88992,5
24,90410,3
24,100115,3
24,184908,4
25,26872,1
25,43516,4
25,88699,5
25,96948,5
25,124921,2
25,134106,1
25,145502,5
25,168128,4
25,181185,5
25,186001,5
26,11580,3
26,33938,2
26,43229,1
26,64717,4
26,90397,3
26,117409,3
26,139020,5
26,167771,2
26,181232,1
27,25692,2
27,40212,1
27,58766,3
27,86449,3
27,100065,2
27,106290,1
27,118435,1
27,132814,4
27,137738,1
28,16212,5
28,31035,2
28,35543,4
28,35584,1
28,44627,5
28,45680,4
28,61603,3
28,73779,1
28,103086,4
28,183641,2
28,188816,3
29,44638,4
29,50782,1
29,74345,4
29,94217,5
29,108389,4
29,114947,1
29,119648,2
29,158432,4
30,52938,1
30,56360,3
30,83582,2
30,89346,5
30,106593,5
30,135942,3
30,153968,5
30,155582,5
31,13798,2
31,28277,1
31,131719,5
31,146723,3
31,176109,1
32,10129,1
32,11306,5
32,39642,5
32,48019,4
32,76407,2
32,88813,1
32,102685,1
32,115022,1
32,115761,5
32,125848,2
32,127506,2
32,135047,5
32,182556,1
33,7604,1
33,41768,5
33,72650,2
33,93902,2
33,99528,4
33,109962,2
33,130699,5
33,152692,2
33,163605,4
33,182735,3
33,190594,4
34,5024,2
34,13677,1
34,71621,4
34,123590,1
34,131940,2
34,159185,4
34,164035,1
34,175530,5
34,182070,3
35,10885,4
35,13395,2
35,32607,2
35,42283,4
35,55967,1
35,64367,3
35,66565,4
35,89861,5
35,141889,1
35,144788,1
36,86205,2
36,129082,1
36,142550,3
36,156832,4
36,186701,2
37,13949,2
37,28564,4
37,39305,3
37,46550,2
37,68046,2
37,70645,2
37,89205,3
37,97128,1
37,110795,1
37,123954,5
37,168347,5
37,190457,2
38,47701,4
38,51512,1
38,60081,4
38,71997,5
38,84645,4
38,125254,2
38,128565,2
38,143246,2
38,152168,4
39,15287,5
39,24936,4
40,29990,5
40,33050,4
40,42877,1
40,79910,5
